peak_utc,peak_counts,class_like
2024-05-15 23:24:58,28.5,B/A
2024-05-15 23:27:39,27.8,B/A
2024-05-15 23:30:18,31.5,B/A
2024-05-15 23:32:55,33.2,B/A
2024-05-15 23:35:10,28.8,B/A
2024-05-15 23:38:55,30.4,B/A
2024-05-15 23:41:12,31.4,B/A
2024-05-15 23:44:08,30.2,B/A
2024-05-15 23:46:28,29.7,B/A
2024-05-15 23:48:52,29.4,B/A
2024-05-15 23:52:20,27.6,B/A
2024-05-15 23:55:07,29.1,B/A
2024-05-15 23:57:30,28.9,B/A
2024-05-16 00:00:30,28.4,B/A
2024-05-16 00:02:38,30.4,B/A
2024-05-16 00:05:38,27.3,B/A
2024-05-16 00:08:17,29.0,B/A
2024-05-16 00:10:59,29.3,B/A
2024-05-16 00:13:22,33.5,B/A
2024-05-16 00:15:50,28.4,B/A
2024-05-16 00:19:14,29.7,B/A
2024-05-16 00:21:25,28.8,B/A
2024-05-16 00:23:28,30.9,B/A
2024-05-16 00:26:11,28.4,B/A
2024-05-16 00:28:25,28.7,B/A
2024-05-16 00:31:03,30.0,B/A
2024-05-16 00:33:37,30.6,B/A
2024-05-16 00:36:12,29.1,B/A
2024-05-16 00:39:58,28.7,B/A
2024-05-16 00:42:09,27.7,B/A
2024-05-16 00:46:32,27.5,B/A
2024-05-16 00:48:58,30.9,B/A
2024-05-16 00:51:07,28.3,B/A
2024-05-16 00:53:39,33.3,B/A
2024-05-16 00:55:58,31.2,B/A
2024-05-16 00:58:46,28.0,B/A
2024-05-16 01:01:17,30.7,B/A
2024-05-16 01:03:53,28.0,B/A
2024-05-16 01:06:12,28.1,B/A
2024-05-16 01:08:15,28.2,B/A
2024-05-16 01:10:20,29.0,B/A
2024-05-16 01:12:47,29.2,B/A
2024-05-16 01:14:51,31.0,B/A
2024-05-16 01:17:16,29.9,B/A
2024-05-16 01:20:00,33.9,B/A
2024-05-16 01:22:05,29.1,B/A
2024-05-16 01:24:53,28.9,B/A
2024-05-16 01:26:58,28.5,B/A
2024-05-16 01:29:28,30.1,B/A
2024-05-16 01:31:32,30.1,B/A
2024-05-16 01:35:29,28.4,B/A
2024-05-16 01:37:41,28.1,B/A
2024-05-16 01:39:50,27.5,B/A
2024-05-16 01:41:59,30.0,B/A
2024-05-16 01:44:13,31.0,B/A
2024-05-16 01:48:13,28.5,B/A
2024-05-16 01:51:00,28.5,B/A
2024-05-16 01:53:08,29.2,B/A
2024-05-16 01:55:59,27.5,B/A
2024-05-16 01:58:30,31.9,B/A
2024-05-16 02:00:43,28.7,B/A
2024-05-16 02:02:48,30.7,B/A
2024-05-16 02:04:49,27.8,B/A
2024-05-16 02:07:16,29.8,B/A
2024-05-16 02:09:34,28.7,B/A
2024-05-16 02:12:29,29.0,B/A
2024-05-16 02:14:43,29.7,B/A
2024-05-16 02:16:48,28.3,B/A
2024-05-16 02:20:52,30.9,B/A
2024-05-16 02:23:31,27.8,B/A
2024-05-16 02:25:36,31.4,B/A
2024-05-16 02:27:52,32.0,B/A
2024-05-16 02:29:58,28.9,B/A
2024-05-16 02:32:16,33.0,B/A
2024-05-16 02:34:22,29.3,B/A
2024-05-16 02:37:40,33.8,B/A
2024-05-16 02:39:46,31.6,B/A
2024-05-16 02:42:33,27.6,B/A
2024-05-16 02:44:52,28.1,B/A
2024-05-16 02:47:03,30.5,B/A
2024-05-16 02:49:35,27.6,B/A
